sample_barcode,cg13601799,cg08047457,cg19531713,patient_id,brca1_promoter_mean
TCGA-D3-A1QA-06,0.934,0.5302,0.1051,TCGA-D3-A1QA,0.5231
TCGA-D3-A1QA-07,0.6271,0.4666,0.0737,TCGA-D3-A1QA,0.3891333333333334
TCGA-D3-A1QB-06,0.01811,0.03239,0.1019,TCGA-D3-A1QB,0.050800000000000005
TCGA-D3-A2J6-06,0.02233,0.3435,0.09519,TCGA-D3-A2J6,0.15367333333333336
TCGA-D3-A2J7-06,0.1,0.4307,0.1336,TCGA-D3-A2J7,0.22143333333333337
TCGA-D3-A2J8-06,0.02001,0.02727,0.1041,TCGA-D3-A2J8,0.050460000000000005
TCGA-D3-A2J9-06,0.03169,0.02771,0.0867,TCGA-D3-A2J9,0.0487
TCGA-D3-A2JA-06,0.01541,0.02976,0.08792,TCGA-D3-A2JA,0.04436333333333333
TCGA-D3-A2JB-06,0.02919,0.03301,0.07953,TCGA-D3-A2JB,0.04724333333333333
TCGA-D3-A2JC-06,0.01737,0.02056,0.08598,TCGA-D3-A2JC,0.04130333333333333
TCGA-D3-A2JD-06,0.02865,0.02845,0.0933,TCGA-D3-A2JD,0.05013333333333333
TCGA-D3-A2JE-06,0.02711,0.7193,0.07166,TCGA-D3-A2JE,0.27269000000000004
TCGA-D3-A2JF-06,0.0246,0.4744,0.09085,TCGA-D3-A2JF,0.19661666666666666
TCGA-D3-A2JG-06,0.01594,0.0462,0.08608,TCGA-D3-A2JG,0.049406666666666675
TCGA-D3-A2JH-06,0.02861,0.02007,0.08247,TCGA-D3-A2JH,0.04371666666666666
TCGA-D3-A2JK-06,0.01702,0.03798,0.1001,TCGA-D3-A2JK,0.051699999999999996
TCGA-D3-A2JL-06,0.03459,0.586,0.1041,TCGA-D3-A2JL,0.24156333333333332
TCGA-D3-A2JN-06,0.02715,0.07121,0.09667,TCGA-D3-A2JN,0.06501
TCGA-D3-A2JO-06,0.532,0.5841,0.1136,TCGA-D3-A2JO,0.40989999999999993
TCGA-D3-A2JP-06,0.02251,0.03567,0.0723,TCGA-D3-A2JP,0.04349333333333333
TCGA-D3-A3BZ-06,0.02415,0.02788,0.07654,TCGA-D3-A3BZ,0.04285666666666666
TCGA-D3-A3C1-06,0.03607,0.04024,0.09204,TCGA-D3-A3C1,0.05611666666666667
TCGA-D3-A3C3-06,0.04162,0.04521,0.07439,TCGA-D3-A3C3,0.05373999999999999
TCGA-D3-A3C6-06,0.05662,0.02685,0.1066,TCGA-D3-A3C6,0.06335666666666666
TCGA-D3-A3C7-06,0.04297,0.02893,0.08778,TCGA-D3-A3C7,0.053226666666666665
TCGA-D3-A3C8-06,0.219,0.06213,0.08113,TCGA-D3-A3C8,0.12075333333333332
TCGA-D3-A3CB-06,0.0262,0.4087,0.09345,TCGA-D3-A3CB,0.17611666666666667
TCGA-D3-A3CC-06,0.01539,0.3077,0.1003,TCGA-D3-A3CC,0.14113
TCGA-D3-A3CE-06,0.03891,0.03215,0.0829,TCGA-D3-A3CE,0.05132
TCGA-D3-A3CF-06,0.034,0.03076,0.07875,TCGA-D3-A3CF,0.047836666666666666
TCGA-D3-A3ML-06,0.9394,0.5213,0.06945,TCGA-D3-A3ML,0.51005
TCGA-D3-A3MO-06,0.1198,0.05519,0.06159,TCGA-D3-A3MO,0.07886
TCGA-D3-A3MR-06,0.02757,0.4378,0.05737,TCGA-D3-A3MR,0.17424666666666666
TCGA-D3-A3MU-06,0.7754,0.6204,0.06762,TCGA-D3-A3MU,0.48780666666666667
TCGA-D3-A3MV-06,0.02732,0.02969,0.1041,TCGA-D3-A3MV,0.05370333333333333
TCGA-D3-A51E-06,0.02897,0.03211,0.03825,TCGA-D3-A51E,0.03311
TCGA-D3-A51F-06,0.02475,0.02608,0.04002,TCGA-D3-A51F,0.030283333333333332
TCGA-D3-A51G-06,0.02484,0.02483,0.03524,TCGA-D3-A51G,0.028303333333333337
TCGA-D3-A51H-06,0.06515,0.02188,0.03883,TCGA-D3-A51H,0.041953333333333336
TCGA-D3-A51J-06,0.02287,0.3981,0.05602,TCGA-D3-A51J,0.15899666666666668
TCGA-D3-A51K-06,0.01947,0.4832,0.04272,TCGA-D3-A51K,0.1817966666666667
TCGA-D3-A51N-06,0.04623,0.02115,0.03268,TCGA-D3-A51N,0.03335333333333333
TCGA-D3-A51R-06,0.1577,0.0713,0.04032,TCGA-D3-A51R,0.08977333333333333
TCGA-D3-A51T-06,0.8007,0.0286,0.05518,TCGA-D3-A51T,0.2948266666666666
TCGA-D3-A5GL-06,0.788,0.03823,0.04591,TCGA-D3-A5GL,0.2907133333333333
TCGA-D3-A5GN-06,0.02681,0.5001,0.06098,TCGA-D3-A5GN,0.19596333333333335
TCGA-D3-A5GO-06,0.03032,0.03042,0.06117,TCGA-D3-A5GO,0.04063666666666667
TCGA-D3-A5GR-06,0.491,0.4973,0.05094,TCGA-D3-A5GR,0.3464133333333333
TCGA-D3-A5GS-06,0.02671,0.2405,0.05606,TCGA-D3-A5GS,0.10775666666666667
TCGA-D3-A5GT-01,0.8734,0.7234,0.04904,TCGA-D3-A5GT,0.5486133333333333
TCGA-D3-A5GU-06,0.03696,0.6663,0.04697,TCGA-D3-A5GU,0.25007666666666667
TCGA-D3-A8GB-06,0.02329,0.03386,0.05561,TCGA-D3-A8GB,0.037586666666666664
TCGA-D3-A8GC-06,0.8286,0.5211,0.09586,TCGA-D3-A8GC,0.4818533333333333
TCGA-D3-A8GD-06,0.02607,0.07243,0.06808,TCGA-D3-A8GD,0.05552666666666667
TCGA-D3-A8GE-06,0.03411,0.0532,0.0531,TCGA-D3-A8GE,0.046803333333333336
TCGA-D3-A8GI-06,0.453,0.03855,0.06949,TCGA-D3-A8GI,0.18701333333333334
TCGA-D3-A8GJ-06,0.03726,0.5258,0.08503,TCGA-D3-A8GJ,0.21603000000000003
TCGA-D3-A8GK-06,0.02434,0.02746,0.07174,TCGA-D3-A8GK,0.04118
TCGA-D3-A8GL-06,0.1847,0.04328,0.07133,TCGA-D3-A8GL,0.09977000000000001
TCGA-D3-A8GM-06,0.01755,0.02587,0.05458,TCGA-D3-A8GM,0.03266666666666667
TCGA-D3-A8GN-06,0.02578,0.494,0.06222,TCGA-D3-A8GN,0.19400000000000003
TCGA-D3-A8GO-06,0.06645,0.03435,0.06688,TCGA-D3-A8GO,0.05589333333333333
TCGA-D3-A8GP-06,0.03234,0.8045,0.06055,TCGA-D3-A8GP,0.29913
TCGA-D3-A8GQ-06,0.6776,0.504,0.06943,TCGA-D3-A8GQ,0.41701000000000005
TCGA-D3-A8GR-06,0.05948,0.1332,0.03958,TCGA-D3-A8GR,0.07742
TCGA-D3-A8GS-06,0.06211,0.03014,0.06701,TCGA-D3-A8GS,0.05308666666666667
TCGA-D3-A8GV-06,0.2063,0.03094,0.07838,TCGA-D3-A8GV,0.10520666666666667
TCGA-D9-A148-06,0.02917,0.02653,0.1047,TCGA-D9-A148,0.05346666666666666
TCGA-D9-A149-06,0.02765,0.02963,0.07179,TCGA-D9-A149,0.04302333333333334
TCGA-D9-A1JW-06,0.02045,0.3495,0.08144,TCGA-D9-A1JW,0.15046333333333334
TCGA-D9-A1JX-06,0.05807,0.4715,0.08805,TCGA-D9-A1JX,0.20587333333333332
TCGA-D9-A1X3-06,0.02677,0.0248,0.06296,TCGA-D9-A1X3,0.038176666666666664
TCGA-D9-A3Z1-06,0.03816,0.05381,0.1103,TCGA-D9-A3Z1,0.06742333333333334
TCGA-D9-A3Z3-06,0.02888,0.03365,0.08154,TCGA-D9-A3Z3,0.048023333333333335
TCGA-D9-A3Z4-01,0.0675,0.7121,0.129,TCGA-D9-A3Z4,0.3028666666666667
TCGA-D9-A4Z2-01,0.1093,0.03243,0.1044,TCGA-D9-A4Z2,0.08204333333333334
TCGA-D9-A4Z3-01,0.07557,0.6188,0.04308,TCGA-D9-A4Z3,0.24581666666666668
TCGA-D9-A4Z5-01,0.139,0.0448,0.03718,TCGA-D9-A4Z5,0.07366
TCGA-D9-A4Z6-06,0.04766,0.03092,0.04349,TCGA-D9-A4Z6,0.04069
TCGA-D9-A6E9-06,0.03274,0.02649,0.05631,TCGA-D9-A6E9,0.03851333333333334
TCGA-D9-A6EA-06,0.8777,0.4086,0.04026,TCGA-D9-A6EA,0.4421866666666667
TCGA-D9-A6EC-06,0.0244,0.02136,0.05837,TCGA-D9-A6EC,0.03471
TCGA-D9-A6EG-06,0.02046,0.3195,0.04343,TCGA-D9-A6EG,0.12779666666666667
TCGA-DA-A1HV-06,0.03206,0.2442,0.09602,TCGA-DA-A1HV,0.12409333333333333
TCGA-DA-A1HW-06,0.02476,0.04811,0.08859,TCGA-DA-A1HW,0.05382
TCGA-DA-A1HY-06,0.02582,0.0312,0.1081,TCGA-DA-A1HY,0.05504
TCGA-DA-A1I0-06,0.02368,0.04329,0.08983,TCGA-DA-A1I0,0.05226666666666666
TCGA-DA-A1I1-06,0.01616,0.6042,0.09276,TCGA-DA-A1I1,0.23770666666666662
TCGA-DA-A1I2-06,0.05945,0.06064,0.1037,TCGA-DA-A1I2,0.07459666666666666
TCGA-DA-A1I4-06,0.0282,0.02925,0.09467,TCGA-DA-A1I4,0.05070666666666667
TCGA-DA-A1I5-06,0.03092,0.03807,0.08939,TCGA-DA-A1I5,0.05279333333333333
TCGA-DA-A1I7-06,0.04633,0.1974,0.09846,TCGA-DA-A1I7,0.11406333333333334
TCGA-DA-A1I8-06,0.02066,0.03021,0.08488,TCGA-DA-A1I8,0.04524999999999999
TCGA-DA-A1IA-06,0.02835,0.7811,0.09559,TCGA-DA-A1IA,0.30168
TCGA-DA-A1IB-06,0.1141,0.2963,0.09471,TCGA-DA-A1IB,0.16837
TCGA-DA-A1IC-06,0.02678,0.02514,0.1043,TCGA-DA-A1IC,0.05207333333333333
TCGA-DA-A3F2-06,0.03105,0.0427,0.0949,TCGA-DA-A3F2,0.05621666666666667
TCGA-DA-A3F3-06,0.1558,0.5748,0.07414,TCGA-DA-A3F3,0.26824666666666663
TCGA-DA-A3F5-06,0.04334,0.5642,0.08459,TCGA-DA-A3F5,0.23071000000000005
TCGA-DA-A3F8-06,0.1766,0.03671,0.08355,TCGA-DA-A3F8,0.09895333333333334
TCGA-DA-A95V-06,0.03964,0.4624,0.06488,TCGA-DA-A95V,0.1889733333333333
TCGA-DA-A95W-06,0.8686,0.7244,0.06297,TCGA-DA-A95W,0.55199
TCGA-DA-A95X-06,0.09976,0.6915,0.06683,TCGA-DA-A95X,0.28603
TCGA-DA-A95Y-06,0.02408,0.0393,0.06705,TCGA-DA-A95Y,0.04347666666666666
TCGA-DA-A95Z-06,0.8718,0.7548,0.06991,TCGA-DA-A95Z,0.5655033333333334
TCGA-DA-A960-01,0.9231,0.2134,0.06218,TCGA-DA-A960,0.39955999999999997
TCGA-EB-A1NK-01,0.02122,0.4846,0.0787,TCGA-EB-A1NK,0.19483999999999999
TCGA-EB-A24C-01,0.03614,0.0321,0.08669,TCGA-EB-A24C,0.05164333333333334
TCGA-EB-A24D-01,0.7524,0.6494,0.09026,TCGA-EB-A24D,0.4973533333333333
TCGA-EB-A299-01,0.05528,0.07064,0.08099,TCGA-EB-A299,0.06897
TCGA-EB-A3HV-01,0.05552,0.04057,0.07811,TCGA-EB-A3HV,0.058066666666666676
TCGA-EB-A3XB-01,0.02415,0.03414,0.08111,TCGA-EB-A3XB,0.04646666666666666
TCGA-EB-A3XC-01,0.05179,0.03874,0.08927,TCGA-EB-A3XC,0.05993333333333334
TCGA-EB-A3XD-01,0.02595,0.02891,0.1187,TCGA-EB-A3XD,0.05785333333333333
TCGA-EB-A3XE-01,0.02299,0.5123,0.09573,TCGA-EB-A3XE,0.21033999999999997
TCGA-EB-A3XF-01,0.05212,0.04156,0.09844,TCGA-EB-A3XF,0.06404
TCGA-EB-A3Y6-01,0.02137,0.2592,0.08976,TCGA-EB-A3Y6,0.12344333333333334
TCGA-EB-A3Y7-01,0.02068,0.03412,0.1169,TCGA-EB-A3Y7,0.05723333333333334
TCGA-EB-A41A-01,0.0371,0.04378,0.09093,TCGA-EB-A41A,0.05727000000000001
TCGA-EB-A41B-01,0.02641,0.07801,0.1306,TCGA-EB-A41B,0.07834
TCGA-EB-A42Y-01,0.09758,0.02893,0.09213,TCGA-EB-A42Y,0.07288
TCGA-EB-A42Z-01,0.09053,0.5298,0.09422,TCGA-EB-A42Z,0.23818333333333333
TCGA-EB-A430-01,0.02847,0.03509,0.1046,TCGA-EB-A430,0.05605333333333334
TCGA-EB-A431-01,0.03007,0.07922,0.03923,TCGA-EB-A431,0.049506666666666664
TCGA-EB-A44N-01,0.02773,0.03031,0.04427,TCGA-EB-A44N,0.03410333333333333
TCGA-EB-A44O-01,0.02386,0.02595,0.03581,TCGA-EB-A44O,0.02854
TCGA-EB-A44P-01,0.02124,0.03231,0.03355,TCGA-EB-A44P,0.029033333333333338
TCGA-EB-A44Q-06,0.02251,0.5379,0.03332,TCGA-EB-A44Q,0.19791000000000003
TCGA-EB-A44R-06,0.02193,0.4705,0.05012,TCGA-EB-A44R,0.18084999999999998
TCGA-EB-A4IQ-01,0.02733,0.0839,0.03328,TCGA-EB-A4IQ,0.04817
TCGA-EB-A4IS-01,0.0354,0.02555,0.04827,TCGA-EB-A4IS,0.03640666666666667
TCGA-EB-A4OY-01,0.02808,0.02957,0.03936,TCGA-EB-A4OY,0.032336666666666666
TCGA-EB-A4OZ-01,0.02982,0.02427,0.03604,TCGA-EB-A4OZ,0.030043333333333335
TCGA-EB-A4P0-01,0.1144,0.02981,0.04749,TCGA-EB-A4P0,0.0639
TCGA-EB-A4XL-01,0.08823,0.03496,0.04271,TCGA-EB-A4XL,0.055299999999999995
TCGA-EB-A51B-01,0.03399,0.3658,0.04771,TCGA-EB-A51B,0.14916666666666667
TCGA-EB-A550-01,0.05282,0.06008,0.05588,TCGA-EB-A550,0.05626
TCGA-EB-A551-01,0.455,0.4867,0.04961,TCGA-EB-A551,0.33043666666666666
TCGA-EB-A553-01,0.02676,0.6141,0.0419,TCGA-EB-A553,0.2275866666666667
TCGA-EB-A57M-01,0.02505,0.0387,0.07251,TCGA-EB-A57M,0.045419999999999995
TCGA-EB-A5FP-01,0.02213,0.03344,0.06389,TCGA-EB-A5FP,0.03982
TCGA-EB-A5KH-06,0.3028,0.0365,0.0614,TCGA-EB-A5KH,0.13356666666666667
TCGA-EB-A5SE-01,0.02635,0.02024,0.05331,TCGA-EB-A5SE,0.0333
TCGA-EB-A5SF-01,0.021,0.03153,0.06582,TCGA-EB-A5SF,0.039450000000000006
TCGA-EB-A5SG-06,0.02582,0.4517,0.04208,TCGA-EB-A5SG,0.1732
TCGA-EB-A5SH-06,0.02224,0.5865,0.06703,TCGA-EB-A5SH,0.2252566666666667
TCGA-EB-A5UL-06,0.02849,0.03231,0.05178,TCGA-EB-A5UL,0.037526666666666667
TCGA-EB-A5UM-01,0.3557,0.02416,0.05344,TCGA-EB-A5UM,0.14443333333333333
TCGA-EB-A5UN-06,0.2016,0.02779,0.05572,TCGA-EB-A5UN,0.09503666666666667
TCGA-EB-A5VU-01,0.04347,0.05843,0.02903,TCGA-EB-A5VU,0.04364333333333333
TCGA-EB-A5VV-06,0.02314,0.04581,0.05245,TCGA-EB-A5VV,0.040466666666666665
TCGA-EB-A6L9-06,0.08175,0.02609,0.05514,TCGA-EB-A6L9,0.05432666666666667
TCGA-EB-A6QY-01,0.01781,0.02626,0.05931,TCGA-EB-A6QY,0.03446
TCGA-EB-A6QZ-01,0.09616,0.02779,0.06419,TCGA-EB-A6QZ,0.06271333333333333
TCGA-EB-A6R0-01,0.04597,0.03593,0.07126,TCGA-EB-A6R0,0.05105333333333334
TCGA-EB-A82B-01,0.02944,0.03658,0.04059,TCGA-EB-A82B,0.03553666666666667
TCGA-EB-A82C-01,0.03127,0.03733,0.04682,TCGA-EB-A82C,0.03847333333333333
TCGA-EB-A85I-01,0.02956,0.03594,0.06072,TCGA-EB-A85I,0.04207333333333333
TCGA-EB-A85J-01,0.03249,0.03855,0.04354,TCGA-EB-A85J,0.03819333333333333
TCGA-EB-A97M-01,0.7786,0.02466,0.05448,TCGA-EB-A97M,0.2859133333333333
TCGA-EE-A17X-06,0.1081,0.5172,0.07671,TCGA-EE-A17X,0.23400333333333334
TCGA-EE-A17Y-06,0.02757,0.02068,0.0808,TCGA-EE-A17Y,0.04301666666666667
TCGA-EE-A17Z-06,0.02616,0.03155,0.1052,TCGA-EE-A17Z,0.054303333333333335
TCGA-EE-A180-06,0.8991,0.02215,0.06899,TCGA-EE-A180,0.33008
TCGA-EE-A181-06,0.02725,0.1612,0.09803,TCGA-EE-A181,0.09549333333333333
TCGA-EE-A182-06,0.02953,0.03146,0.08488,TCGA-EE-A182,0.04862333333333333
TCGA-EE-A183-06,0.03,0.02411,0.06333,TCGA-EE-A183,0.03914666666666666
TCGA-EE-A184-06,0.01366,0.5253,0.07981,TCGA-EE-A184,0.20625666666666667
TCGA-EE-A185-06,0.04014,0.5922,0.08136,TCGA-EE-A185,0.23789999999999997
TCGA-EE-A20B-06,0.01938,0.02547,0.09078,TCGA-EE-A20B,0.04521
TCGA-EE-A20C-06,0.8772,0.03873,0.09112,TCGA-EE-A20C,0.33568333333333333
TCGA-EE-A20F-06,0.03969,0.0299,0.1118,TCGA-EE-A20F,0.060463333333333334
TCGA-EE-A20H-06,0.1575,0.7333,0.1079,TCGA-EE-A20H,0.3329
TCGA-EE-A20I-06,0.01965,0.03381,0.08378,TCGA-EE-A20I,0.045746666666666665
TCGA-EE-A29A-06,0.01948,0.03609,0.09479,TCGA-EE-A29A,0.05012
TCGA-EE-A29B-06,0.01277,0.03523,0.0899,TCGA-EE-A29B,0.04596666666666666
TCGA-EE-A29C-06,0.1059,0.05495,0.08485,TCGA-EE-A29C,0.08189999999999999
TCGA-EE-A29D-06,0.1823,0.03061,0.07448,TCGA-EE-A29D,0.09579666666666665
TCGA-EE-A29E-06,0.02452,0.02969,0.08613,TCGA-EE-A29E,0.046779999999999995
TCGA-EE-A29G-06,0.2374,0.4648,0.088,TCGA-EE-A29G,0.26339999999999997
TCGA-EE-A29H-06,0.05693,0.5915,0.08635,TCGA-EE-A29H,0.2449266666666667
TCGA-EE-A29L-06,0.8765,0.8316,0.07785,TCGA-EE-A29L,0.5953166666666666
TCGA-EE-A29M-06,0.02075,0.02576,0.09005,TCGA-EE-A29M,0.045520000000000005
TCGA-EE-A29N-06,0.418,0.03552,0.07178,TCGA-EE-A29N,0.1751
TCGA-EE-A29P-06,0.4271,0.596,0.1191,TCGA-EE-A29P,0.3807333333333333
TCGA-EE-A29Q-06,0.04379,0.1977,0.09824,TCGA-EE-A29Q,0.11324333333333332
TCGA-EE-A29R-06,0.1646,0.7184,0.08701,TCGA-EE-A29R,0.32333666666666666
TCGA-EE-A29S-06,0.6101,0.5674,0.1066,TCGA-EE-A29S,0.4280333333333333
TCGA-EE-A29T-06,0.04176,0.5674,0.09509,TCGA-EE-A29T,0.23475000000000001
TCGA-EE-A29V-06,0.01858,0.04889,0.08627,TCGA-EE-A29V,0.05124666666666666
TCGA-EE-A29W-06,0.07713,0.02753,0.09765,TCGA-EE-A29W,0.06743666666666666
TCGA-EE-A29X-06,0.6438,0.1631,0.09561,TCGA-EE-A29X,0.3008366666666667
TCGA-EE-A2A0-06,0.3117,0.04491,0.1777,TCGA-EE-A2A0,0.1781033333333333
TCGA-EE-A2A1-06,0.01847,0.1748,0.08492,TCGA-EE-A2A1,0.09272999999999999
TCGA-EE-A2A2-06,0.7779,0.02468,0.09428,TCGA-EE-A2A2,0.29895333333333335
TCGA-EE-A2A5-06,0.09679,0.7009,0.08545,TCGA-EE-A2A5,0.29438000000000003
TCGA-EE-A2A6-06,0.02572,0.02082,0.08545,TCGA-EE-A2A6,0.04399666666666666
TCGA-EE-A2GB-06,0.02765,0.02953,0.09196,TCGA-EE-A2GB,0.04971333333333333
TCGA-EE-A2GC-06,0.02099,0.1276,0.1004,TCGA-EE-A2GC,0.08299666666666666
TCGA-EE-A2GD-06,0.01939,0.444,0.06433,TCGA-EE-A2GD,0.17590666666666666
TCGA-EE-A2GE-06,0.03031,0.4283,0.07768,TCGA-EE-A2GE,0.17876333333333336
TCGA-EE-A2GH-06,0.02585,0.0269,0.09758,TCGA-EE-A2GH,0.05011000000000001
TCGA-EE-A2GI-06,0.02119,0.04695,0.08785,TCGA-EE-A2GI,0.05199666666666667
TCGA-EE-A2GJ-06,0.6829,0.5433,0.09705,TCGA-EE-A2GJ,0.4410833333333333
TCGA-EE-A2GK-06,0.02259,0.02782,0.09632,TCGA-EE-A2GK,0.04891
TCGA-EE-A2GL-06,0.02819,0.02794,0.07018,TCGA-EE-A2GL,0.04210333333333333
TCGA-EE-A2GM-06,0.03255,0.5926,0.09834,TCGA-EE-A2GM,0.2411633333333333
TCGA-EE-A2GN-06,0.0669,0.03523,0.08907,TCGA-EE-A2GN,0.06373333333333332
TCGA-EE-A2GO-06,0.1894,0.0456,0.08093,TCGA-EE-A2GO,0.10531000000000001
TCGA-EE-A2GP-06,0.02352,0.03,0.1007,TCGA-EE-A2GP,0.05140666666666666
TCGA-EE-A2GR-06,0.3154,0.02421,0.0982,TCGA-EE-A2GR,0.1459366666666667
TCGA-EE-A2GS-06,0.1028,0.04085,0.1807,TCGA-EE-A2GS,0.10811666666666668
TCGA-EE-A2GT-06,0.02094,0.02863,0.1063,TCGA-EE-A2GT,0.05195666666666667
TCGA-EE-A2GU-06,0.5268,0.5696,0.08264,TCGA-EE-A2GU,0.3930133333333334
TCGA-EE-A2M5-06,0.03202,0.02499,0.08114,TCGA-EE-A2M5,0.04605
TCGA-EE-A2M6-06,0.917,0.04689,0.09142,TCGA-EE-A2M6,0.35176999999999997
TCGA-EE-A2M7-06,0.02656,0.0384,0.107,TCGA-EE-A2M7,0.05732
TCGA-EE-A2M8-06,0.02827,0.0342,0.09308,TCGA-EE-A2M8,0.05185
TCGA-EE-A2MC-06,0.02407,0.02791,0.0632,TCGA-EE-A2MC,0.038393333333333335
TCGA-EE-A2MD-06,0.0214,0.4715,0.08361,TCGA-EE-A2MD,0.19216999999999998
TCGA-EE-A2ME-06,0.16,0.0317,0.09778,TCGA-EE-A2ME,0.09649333333333333
TCGA-EE-A2MF-06,0.1048,0.074,0.08025,TCGA-EE-A2MF,0.08635
TCGA-EE-A2MG-06,0.01831,0.02552,0.1031,TCGA-EE-A2MG,0.04897666666666667
TCGA-EE-A2MH-06,0.02796,0.5322,0.09902,TCGA-EE-A2MH,0.21972666666666665
TCGA-EE-A2MI-06,0.03687,0.0336,0.09038,TCGA-EE-A2MI,0.05361666666666667
TCGA-EE-A2MJ-06,0.3108,0.1361,0.09243,TCGA-EE-A2MJ,0.17977666666666667
TCGA-EE-A2MK-06,0.0564,0.03661,0.0964,TCGA-EE-A2MK,0.06313666666666666
TCGA-EE-A2ML-06,0.03893,0.4859,0.07645,TCGA-EE-A2ML,0.20042666666666667
TCGA-EE-A2MM-06,0.4936,0.03619,0.09766,TCGA-EE-A2MM,0.20914999999999997
TCGA-EE-A2MN-06,0.7138,0.6636,0.08348,TCGA-EE-A2MN,0.48696
TCGA-EE-A2MP-06,0.02133,0.4724,0.09531,TCGA-EE-A2MP,0.19634666666666667
TCGA-EE-A2MQ-06,0.7476,0.02713,0.08548,TCGA-EE-A2MQ,0.2867366666666667
TCGA-EE-A2MR-06,0.2302,0.09184,0.06473,TCGA-EE-A2MR,0.12892333333333333
TCGA-EE-A2MS-06,0.03529,0.709,0.09072,TCGA-EE-A2MS,0.2783366666666667
TCGA-EE-A2MT-06,0.01714,0.02075,0.07117,TCGA-EE-A2MT,0.03635333333333333
TCGA-EE-A2MU-06,0.5193,0.02794,0.1088,TCGA-EE-A2MU,0.21867999999999999
TCGA-EE-A3AA-06,0.3106,0.3204,0.08023,TCGA-EE-A3AA,0.23707666666666669
TCGA-EE-A3AB-06,0.04175,0.03293,0.03586,TCGA-EE-A3AB,0.036846666666666666
TCGA-EE-A3AC-06,0.02494,0.3596,0.1171,TCGA-EE-A3AC,0.16721333333333332
TCGA-EE-A3AD-06,0.02603,0.03423,0.101,TCGA-EE-A3AD,0.05375333333333334
TCGA-EE-A3AE-06,0.02115,0.255,0.08532,TCGA-EE-A3AE,0.12049
TCGA-EE-A3AF-06,0.6944,0.1015,0.1009,TCGA-EE-A3AF,0.29893333333333333
TCGA-EE-A3AG-06,0.124,0.03932,0.09762,TCGA-EE-A3AG,0.08698
TCGA-EE-A3AH-06,0.1739,0.02571,0.1017,TCGA-EE-A3AH,0.10043666666666667
TCGA-EE-A3J3-06,0.02693,0.03869,0.08701,TCGA-EE-A3J3,0.05087666666666666
TCGA-EE-A3J4-06,0.7958,0.03062,0.05905,TCGA-EE-A3J4,0.2951566666666667
TCGA-EE-A3J5-06,0.02946,0.02804,0.09516,TCGA-EE-A3J5,0.05088666666666666
TCGA-EE-A3J7-06,0.02657,0.5715,0.0764,TCGA-EE-A3J7,0.22482333333333335
TCGA-EE-A3J8-06,0.9494,0.0232,0.0906,TCGA-EE-A3J8,0.3544
TCGA-EE-A3JA-06,0.05961,0.04122,0.09141,TCGA-EE-A3JA,0.06408000000000001
TCGA-EE-A3JB-06,0.03467,0.02441,0.07076,TCGA-EE-A3JB,0.043280000000000006
TCGA-EE-A3JD-06,0.03512,0.0288,0.1016,TCGA-EE-A3JD,0.05517333333333333
TCGA-EE-A3JE-06,0.02929,0.3588,0.08982,TCGA-EE-A3JE,0.15930333333333332
TCGA-EE-A3JH-06,0.03241,0.2719,0.06254,TCGA-EE-A3JH,0.12228333333333331
TCGA-EE-A3JI-06,0.8452,0.02856,0.06214,TCGA-EE-A3JI,0.31196666666666667
TCGA-ER-A193-06,0.03593,0.03174,0.08413,TCGA-ER-A193,0.0506
TCGA-ER-A194-01,0.02091,0.6047,0.08304,TCGA-ER-A194,0.23621666666666666
TCGA-ER-A195-06,0.03892,0.02589,0.09871,TCGA-ER-A195,0.05450666666666667
TCGA-ER-A196-01,0.03104,0.09936,0.07373,TCGA-ER-A196,0.06804333333333334
TCGA-ER-A197-06,0.01703,0.4143,0.09151,TCGA-ER-A197,0.17428
TCGA-ER-A198-06,0.5194,0.02697,0.09606,TCGA-ER-A198,0.21414333333333335
TCGA-ER-A199-06,0.432,0.03114,0.08105,TCGA-ER-A199,0.18139666666666665
TCGA-ER-A19A-06,0.02794,0.05512,0.08474,TCGA-ER-A19A,0.055933333333333335
TCGA-ER-A19B-06,0.07383,0.02633,0.09151,TCGA-ER-A19B,0.06389
TCGA-ER-A19C-06,0.686,0.1816,0.0845,TCGA-ER-A19C,0.3173666666666667
TCGA-ER-A19D-06,0.03104,0.513,0.1029,TCGA-ER-A19D,0.21564666666666665
TCGA-ER-A19E-06,0.01843,0.02661,0.08596,TCGA-ER-A19E,0.043666666666666666
TCGA-ER-A19F-06,0.0717,0.02542,0.08803,TCGA-ER-A19F,0.06171666666666666
TCGA-ER-A19G-06,0.05492,0.4878,0.0918,TCGA-ER-A19G,0.21150666666666665
TCGA-ER-A19H-06,0.01868,0.03089,0.08478,TCGA-ER-A19H,0.044783333333333335
TCGA-ER-A19J-06,0.7877,0.7211,0.07462,TCGA-ER-A19J,0.5278066666666666
TCGA-ER-A19K-01,0.4781,0.03073,0.07578,TCGA-ER-A19K,0.19487
TCGA-ER-A19L-06,0.02568,0.7081,0.08512,TCGA-ER-A19L,0.27296666666666664
TCGA-ER-A19M-06,0.04327,0.1145,0.1057,TCGA-ER-A19M,0.08782333333333335
TCGA-ER-A19N-06,0.02872,0.5263,0.07646,TCGA-ER-A19N,0.2104933333333333
TCGA-ER-A19O-06,0.02354,0.2787,0.07867,TCGA-ER-A19O,0.12697
